"CODIGO"	"NOMBRE"	"EMBALSE"	"X"	"Y"	"DEMARC"	"CAUCE"	"GOOGLE"	"OPENSTREETMAP"	"WIKIDATA"	"PROVINCIA"	"CCAA"	"TIPO"	"COTA_CORON"	"ALT_CIMIEN"	"INFORME"
4130046	"VEGA DEL JABALON, LA"	"VEGA DEL JABALON, LA"	38,7610742730001	-3,78659975599993	"GUADIANA"	"RIO JABALON"	""	""	""	"Ciudad Real"	"Castilla - La Mancha"	"Presa de materiales sueltos zonificada o de núcleo"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1134"
3450007	"NAVALCAN"	"NAVALCAN"	40,0482099480001	-5,14236058399996	"TAJO"	"RÍO GUADYERBAS"	""	""	""	"Toledo"	"Castilla - La Mancha"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=864"
5140036	"CORDOBILLA"	"CORDOBILLA"	37,3492563180001	-4,72116142999994	"GUADALQUIVIR"	"RÍO  GENIL"	""	""	""	"Sevilla"	"Andalucía"	"Presa de fábrica de gravedad (hormigón vibrado)"	218,25	45,25	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1458"
4060082	"MOLINOS DE MATACHEL, LOS"	"MOLINOS DE MATACHEL, LOS"	38,5329287000001	-6,12167919199993	"GUADIANA"	"RIO MATACHEL"	""	""	""	"Badajoz"	"Extremadura"	"Presa de materiales sueltos zonificada o de núcleo"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1007"
7020005	"TALAVE, EL"	"Talave Reservoir"	38,5085969190001	-1,86470514699994	"SEGURA"	"RIO MUNDO"	"https://www.google.com/search?kgmid=/g/122sg9_l"	""	"https://www.wikidata.org/wiki/Q5830460"	"Albacete"	"Castilla - La Mancha"	"Presa de fábrica de mampostería"	512,399999999999	46	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2007"
9260019	"PAJARES"	"Pajares Reservoir"	42,0890324270001	-2,61013101999993	"EBRO"	"RÍO DE PIQUERAS"	"https://www.google.com/search?kgmid=/g/122dlpn_"	""	"https://www.wikidata.org/wiki/Q8775368"	"La Rioja"	"La Rioja"	"Presa de materiales sueltos homogénea"	1233	73	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2679"
7020003	"CAMARILLAS"	"Camarillas Reservoir"	38,3399580770001	-1,64879497099997	"SEGURA"	"RIO MUNDO"	""	""	"https://www.wikidata.org/wiki/Q30908875"	"Albacete"	"Castilla - La Mancha"	"Presa de fábrica de gravedad (hormigón vibrado)"	357,36	43,5	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2005"
2490019	"NUESTRA SEÑORA DEL AGAVANZAL"	"NUESTRA SEÑORA DEL AGAVANZAL"	41,9780455630001	-6,14139184999993	"DUERO"	"RÍO TERA"	""	""	""	"Zamora"	"Castilla y León"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=486"
5410035	"GERGAL"	"GERGAL"	37,5672733050001	-6,04905378099994	"GUADALQUIVIR"	"RIVERA DE HUELVA"	""	""	""	"Sevilla"	"Andalucía"	"Presa de fábrica de arco-gravedad"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1678"
2240009	"CASARES DE ARBAS"	"CASARES DE ARBAS"	42,92752926	-5,75913376799997	"DUERO"	"RÍO CASARES"	""	""	""	"León"	"Castilla y León"	"Presa de fábrica de arco-gravedad"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=293"
